No articulo,Articulo,Palabra,Tipo entidad
0,2009-012973-37,eudract,o
0,2009-012973-37,nº,o
0,2009-012973-37,200901297337,o
0,2009-012973-37,titulo,o
0,2009-012973-37,cientifico,o
0,2009-012973-37,tk008,o
0,2009-012973-37,estudio,i
0,2009-012973-37,aleatorizado,i
0,2009-012973-37,de,i
0,2009-012973-37,fase,i
0,2009-012973-37,iii,i
0,2009-012973-37,sobre,o
0,2009-012973-37,el,o
0,2009-012973-37,trasplante,i
0,2009-012973-37,de,i
0,2009-012973-37,celulas,i
0,2009-012973-37,hematopoyeticas,i
0,2009-012973-37,haploidentico,i
0,2009-012973-37,con,o
0,2009-012973-37,o,o
0,2009-012973-37,sin,o
0,2009-012973-37,una,o
0,2009-012973-37,estrategia,o
0,2009-012973-37,de,o
0,2009-012973-37,apoyo,o
0,2009-012973-37,con,o
0,2009-012973-37,linfocitos,o
0,2009-012973-37,hsvtk,o
0,2009-012973-37,donados,i
0,2009-012973-37,en,o
0,2009-012973-37,pacientes,o
0,2009-012973-37,con,o
0,2009-012973-37,leucemia,i
0,2009-012973-37,aguda,i
0,2009-012973-37,de,o
0,2009-012973-37,alto,o
0,2009-012973-37,riesgo,o
0,2009-012973-37,indicacion,o
0,2009-012973-37,cientifica,o
0,2009-012973-37,los,o
0,2009-012973-37,pacientes,o
0,2009-012973-37,aptos,o
0,2009-012973-37,para,o
0,2009-012973-37,hct,i
0,2009-012973-37,haploidentico,i
0,2009-012973-37,afectados,o
0,2009-012973-37,por,o
0,2009-012973-37,leucemias,i
0,2009-012973-37,agudas,i
0,2009-012973-37,en,o
0,2009-012973-37,primera,o
0,2009-012973-37,remision,o
0,2009-012973-37,completa,o
0,2009-012973-37,o,o
0,2009-012973-37,remision,o
0,2009-012973-37,completa,o
0,2009-012973-37,subsiguiente,o
0,2009-012973-37,y,o
0,2009-012973-37,con,o
0,2009-012973-37,alto,o
0,2009-012973-37,riesgo,o
0,2009-012973-37,de,o
0,2009-012973-37,recaida,o
0,2009-012973-37,criterios,o
0,2009-012973-37,de,o
0,2009-012973-37,inclusion,o
0,2009-012973-37,edad,o
0,2009-012973-37,18,o
0,2009-012973-37,años,o
0,2009-012973-37,cualquiera,o
0,2009-012973-37,de,o
0,2009-012973-37,las,o
0,2009-012973-37,condiciones,o
0,2009-012973-37,siguientes,o
0,2009-012973-37,lma,i
0,2009-012973-37,y,o
0,2009-012973-37,lla,i
0,2009-012973-37,en,o
0,2009-012973-37,primera,o
0,2009-012973-37,remision,o
0,2009-012973-37,completa,o
0,2009-012973-37,rc,o
0,2009-012973-37,con,o
0,2009-012973-37,riesgo,o
0,2009-012973-37,alto,o
0,2009-012973-37,de,o
0,2009-012973-37,recidiva,o
0,2009-012973-37,basado,o
0,2009-012973-37,en,o
0,2009-012973-37,unos,o
0,2009-012973-37,factores,o
0,2009-012973-37,pronostico,o
0,2009-012973-37,negativos,o
0,2009-012973-37,lma,i
0,2009-012973-37,y,o
0,2009-012973-37,lla,i
0,2009-012973-37,en,o
0,2009-012973-37,segunda,o
0,2009-012973-37,rc,o
0,2009-012973-37,o,o
0,2009-012973-37,rc,o
0,2009-012973-37,subsiguiente,o
0,2009-012973-37,lma,i
0,2009-012973-37,secundaria,i
0,2009-012973-37,en,o
0,2009-012973-37,rc,o
0,2009-012973-37,ausencia,o
0,2009-012973-37,de,o
0,2009-012973-37,donante,o
0,2009-012973-37,emparentado,o
0,2009-012973-37,o,o
0,2009-012973-37,no,o
0,2009-012973-37,emparentado,o
0,2009-012973-37,hla,i
0,2009-012973-37,identico,o
0,2009-012973-37,condiciones,o
0,2009-012973-37,clinicas,o
0,2009-012973-37,estables,o
0,2009-012973-37,y,o
0,2009-012973-37,esperanza,o
0,2009-012973-37,de,o
0,2009-012973-37,vida,o
0,2009-012973-37,3,o
0,2009-012973-37,meses,o
